ICPC_Number,"Green=1,Orange=0",DecimalLat,DecimalLong,2016_1 (buildings/wings),2016_2,2016_3,2016_4,2017_1,2017_2,2017_3,2017_4,2018_1,2018_2,2018_3,2016-1,2016-2,2016-3,2016-4,2017-1,2017-2,2017-3,2017-4,2018-1,2018-2,2018-3,
1,1,39.35919444,75.86388889,7,7,7,7,7,9,15,16,16,16,20,8750,8750,8750,8750,8750,13750,36650,38750,38750,38750,56750,
2,1,39.43166667,76.05575,5,5,5,5,5,5,14,14,14,14,21,18000,18000,18000,18000,18000,18000,67000,67000,67000,67000,106200,
3,1,39.35811111,76.05113889,5,5,5,5,5,13,15,17,17,24,24,12200,12200,12200,12200,12200,43200,52200,59200,59200,59200,129600,
4,1,37.91677778,77.35147222,5,5,5,5,5,5,5,13,13,13,13,27000,27000,27000,27000,27000,27000,27000,75000,75000,75000,75000,
5,1,37.24977778,79.84805556,1,1,1,1,1,8,9,11,13,20,22,7000,7000,7000,7000,7000,64500,66250,83250,99250,117250,172850,
6,1,37.11186111,79.64191667,0,0,0,0,0,2,12,16,16,16,21,0,0,0,0,0,12400,71300,94900,94900,94900,120700,
7,1,39.53861111,76.71391667,2,2,2,2,2,18,18,18,16,32,32,3700,3700,3700,3700,3700,36900,36900,36900,33200,122000,122000,
8,1,38.08618056,77.11283611,37,37,42,42,42,42,42,46,56,56,56,54600,54600,55800,64300,64300,66000,66000,69900,101900,101900,101900,
9,1,39.38080556,76.07822222,4,4,4,4,4,6,8,10,10,10,10,9200,9200,9200,9200,9200,10100,11450,14050,14050,14050,14050,
10,1,37.25219444,79.72188889,6,6,6,6,6,9,9,9,9,9,9,12900,12900,12900,12900,12900,20200,20200,20200,20200,20200,20200,
11,1,39.64111111,75.99611111,11,11,11,11,11,11,22,30,41,41,54,34900,34900,34900,34900,34900,34900,40400,45000,51000,51000,148300,
12,1,43.97443056,81.49615556,6,6,6,6,6,6,6,6,10,12,12,20150,20150,20150,20150,20150,20150,20150,20150,28650,32450,32450,
13,1,43.38383333,88.28838889,0,0,0,0,0,0,26,37,37,37,67,0,0,0,0,0,0,130900,217100,217100,217100,526500,
14,1,42.961214,89.217135,6,6,6,6,6,6,8,8,8,8,12,17750,17750,17750,17750,17750,17750,21300,21300,21300,21300,36100,
15,1,39.451437,76.110317,0,0,0,0,0,35,35,35,35,39,39,0,0,0,0,0,145000,145000,145000,145000,195400,195400,
16,0,39.38206111,76.07250278,6,6,6,6,6,6,6,6,6,6,6,29900,29900,29900,29900,29900,29900,29900,29900,29900,29900,29900,
17,0,39.82527778,78.55011111,6,6,6,6,6,6,6,6,6,6,6,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,
18,0,37.85119444,77.43702778,14,14,14,14,14,16,17,21,22,27,28,44250,44250,44250,44250,44250,44250,46450,46450,47550,53050,64300,
19,0,39.14791667,75.95222222,8,8,8,8,8,8,8,8,8,8,8,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,
20,0,41.70504444,86.28337222,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,103000,112000,
21,0,39.33253536,75.68783723,12,12,12,12,12,14,14,14,14,14,15,46800,46800,46800,46800,46800,51700,51700,51700,51700,51700,51730,
22,0,39.26027778,76.00176389,5,5,8,8,7,7,7,12,16,16,16,11600,11600,23600,23600,22000,22000,22000,40100,44450,44450,44450,
23,0,39.43825,76.74047222,10,10,10,10,10,11,11,11,14,14,19,25000,25000,25000,25000,25000,27400,27400,27400,31300,31300,63100,
24,0,42.811472,93.433611,10,10,10,10,10,10,11,13,15,15,22,6500,6500,6500,6500,6500,6500,11600,17900,18550,53750,53750,
25,0,44.02525,80.874083,11,11,11,11,11,11,11,11,12,18,18,24750,24750,24750,24750,24750,24750,24750,24750,29950,37750,37750,
26,0,41.731408,83.007867,0,0,0,0,0,0,11,13,13,13,13,0,0,0,0,0,0,49400,67600,67600,67600,67600,
27,1,37.12988,79.971973,11,11,13,21,21,21,24,24,24,29,33,49050,49050,53250,62050,62050,62050,89050,89050,89050,116050,137650,
28,1,36.800037,81.832953,9,9,9,9,9,9,17,17,20,34,34,37900,37900,37900,37900,37900,37900,50700,50700,58800,102000,102000
